정류장ID,정류장명,위도,경도
356000537,한일교회,36.816748,128.647243
356000281,한천리.범천골,36.840537,128.522275
356000298,한천리.범천골,36.840432,128.522331
356000131,해표사료앞,36.818175,128.627808
356000455,행복정원,36.822529,128.606176
356000071,현대2차강변타운,36.814354,128.613877
356000070,현대2차강변타운,36.814698,128.612034
356000072,현대2차강변타운,36.814164,128.614003
356000073,현대2차강변타운,36.814794,128.612301
356000020,현대아파트,36.834445,128.6115
356000634,현대아파트,36.804053,128.61924
356000223,호구실,36.748477,128.571323
356000207,호구실,36.748463,128.571189
356000225,호문.곰실.보통골.갈골,36.764873,128.580729
356000220,호문.곰실.보통골.갈골,36.764973,128.580723
356000205,호문.곰실.보통골.갈골,36.76491,128.580597
356000233,호문1리.곰실,36.764528,128.584172
356000219,호문1리.곰실,36.764606,128.584265
356000216,호문3리,36.761226,128.590359
356000217,호문3리,36.760613,128.593544
356000218,호문3리,36.761333,128.590345
356000215,호문3리.갈골,36.75506,128.583992
356000234,호문3리.갈골,36.755157,128.583906
356000311,홍삼센터앞,36.867353,128.53401
356000331,홍삼센터앞,36.867247,128.533977
356000812,화감,36.956824,128.676798
356000810,화감,36.9568,128.676665
356000221,화기리,36.766995,128.576613
356000204,화기리,36.766949,128.576496
356000053,화성라온빌아파트,36.819998,128.635399
356000079,휴천1동주민센터,36.818592,128.630041
356000352,희방,36.903878,128.459013
356000353,희방,36.904185,128.459262
